gala,adjetivo
galante,adjetivo
gato,adjetivo
gostoso,adjetivo
gentleman,adjetivo
glorioso,adjetivo
glamoroso,adjetivo
gigante,adjetivo
gigantesco,adjetivo
guerreiro,adjetivo
gracejador,adjetivo
galanteador,adjetivo
garboso,adjetivo
grato,adjetivo
gratifico,adjetivo
galhardo,adjetivo
galhofeiro,adjetivo
gaiato,adjetivo
gaiteiro,adjetivo
gracil,adjetivo
guapo,adjetivo
grado,adjetivo
honesto,adjetivo
honrado,adjetivo
humano,adjetivo
honroso,adjetivo
honoravel,adjetivo
heroi,adjetivo
heroico,adjetivo
habil,adjetivo
habilidoso,adjetivo
herculeo,adjetivo
hilario,adjetivo
hilariante,adjetivo
hilare,adjetivo
hospitaleiro,adjetivo
humanitario,adjetivo
hospedeiro,adjetivo
humilde,adjetivo
humile,adjetivo
humildoso,adjetivo
humilimo,adjetivo
inteligente,adjetivo
importante,adjetivo
integro,adjetivo
incrivel,adjetivo
ilustre,adjetivo
interessante,adjetivo
impressionante,adjetivo
impar,adjetivo
ideal,adjetivo
imponente,adjetivo
imaginativo,adjetivo
impecavel,adjetivo
irreverente,adjetivo
irresistivel,adjetivo
inigualavel,adjetivo
imparcial,adjetivo
idoneo,adjetivo
independente,adjetivo
inspirador,adjetivo
interventivo,adjetivo
intuitivo,adjetivo
intenso,adjetivo
intelectual,adjetivo
instruido,adjetivo
imortal,adjetivo
impavido,adjetivo
iluminado,adjetivo
imaculado,adjetivo
idealista,adjetivo
idilico,adjetivo
idilista,adjetivo
imparavel,adjetivo
inabalavel,adjetivo
incansavel,adjetivo
imbativel,adjetivo
invencivel,adjetivo
insubmisso,adjetivo
insubornavel,adjetivo
invulneravel,adjetivo
incorruptivel,adjetivo
incorrupto,adjetivo
imprescindivel,adjetivo
indispensavel,adjetivo
intemerato,adjetivo
justo,adjetivo
jovem,adjetivo
jovial,adjetivo
joia,adjetivo
jeitoso,adjetivo
jubilante,adjetivo
jubiloso,adjetivo
"janota,",adjetivo
justiceiro,adjetivo
jucundo,adjetivo
jocoso,adjetivo
leal,adjetivo
legal,adjetivo
lindo,adjetivo
livre,adjetivo
lutador,adjetivo
louvavel,adjetivo
laudavel,adjetivo
largo,adjetivo
legitimo,adjetivo
lucido,adjetivo
lisonjeiro,adjetivo
loquaz,adjetivo
liberal,adjetivo
liberto,adjetivo
licito,adjetivo
lider,adjetivo
lhano,adjetivo
letrado,adjetivo
laborioso,adjetivo
lancado,adjetivo
lesto,adjetivo
ledo,adjetivo
lauto,adjetivo
lidimo,adjetivo
maravilhoso,adjetivo
magnifico,adjetivo
magnanimo,adjetivo
majestoso,adjetivo
magnificente,adjetivo
maior,adjetivo
melhor,adjetivo
maximo,adjetivo
merecedor,adjetivo
maneiro,adjetivo
meigo,adjetivo
mimoso,adjetivo
modesto,adjetivo
modico,adjetivo
maternal,adjetivo
mavioso,adjetivo
motivado,adjetivo
marcante,adjetivo
magico,adjetivo
magno,adjetivo
magistral,adjetivo
maestral,adjetivo
meritorio,adjetivo
moderno,adjetivo
moderado,adjetivo
maduro,adjetivo
meticuloso,adjetivo
